Comment,Designator,Footprint,LCSC
"10u","C1,C3","21xt_footprints:CAP_TPS_A_AVX",""
"0.1u","C2,C4","Capacitor_SMD:C_0603_1608Metric",""
"AD5689RARUZ-RL7","IC1","21xt_footprints:SOP65P640X120-16N",""
"Conn_01x12_Pin","J1","21xt_footprints:6pin-6pin breadboard",""
