Ref,Val,Package,PosX,PosY,Rot,Side
"C66","0.1uF","C_0402_1005Metric",59.420000,-36.880000,0.000000,bottom
"IC1","LT6658AHMSE-2.5#PBF","SOP50P490X110-17N",37.000000,-11.010000,180.000000,bottom
"IC2","LT6658AHMSE-5#PBF","SOP50P490X110-17N",61.110000,-33.200000,-90.000000,bottom
"IC4","INA821IDGKT","SOP65P490X110-8N",62.530000,-11.810000,90.000000,bottom
"IC5","INA821IDGKT","SOP65P490X110-8N",57.920000,-11.760000,90.000000,bottom
"IC8","AD5689RARUZ-RL7","SOP65P640X120-16N",50.520000,-7.380000,180.000000,bottom
"IC9","AD7175-8BCPZ-RL7","AD7175-8BCPZ-RL7",30.860000,-24.290000,90.000000,bottom
"Q1","NMOS","SOT-23-3",60.340000,-54.000000,0.000000,bottom
"Q2","NMOS","SOT-23-3",60.350000,-48.970000,0.000000,bottom
"R1","R","R_0402_1005Metric",62.690000,-17.220000,180.000000,bottom
"R2","R","R_0402_1005Metric",58.040000,-15.860000,180.000000,bottom
"R3","20","R_0402_1005Metric",62.670000,-15.850000,180.000000,bottom
"R4","20","R_0402_1005Metric",58.030000,-17.220000,180.000000,bottom
"R5","10k","R_0402_1005Metric",60.230000,-51.660000,0.000000,bottom
"R6","10k","R_0402_1005Metric",60.190000,-46.710000,0.000000,bottom
"R7","10k","R_0402_1005Metric",25.220000,-21.200000,180.000000,bottom
"R11","10k","R_0402_1005Metric",57.580000,-55.370000,90.000000,bottom
"R12","10k","R_0402_1005Metric",57.670000,-50.500000,90.000000,bottom
"R13","350","R_0402_1005Metric",61.976000,-20.066000,0.000000,bottom
"R14","350","R_0402_1005Metric",63.728600,-20.523200,-90.000000,bottom
"R15","350","R_0402_1005Metric",62.001400,-21.183600,0.000000,bottom
"R16","350","R_0402_1005Metric",57.327800,-19.659600,0.000000,bottom
"R17","350","R_0402_1005Metric",58.953400,-20.243800,-90.000000,bottom
"R18","350","R_0402_1005Metric",57.304400,-20.828000,0.000000,bottom
"R21","27.7k","R_0402_1005Metric",34.020000,-40.780000,90.000000,bottom
"R22","27.7k","R_0402_1005Metric",44.655000,-31.852500,180.000000,bottom
"R23","27.7k","R_0402_1005Metric",46.252500,-28.545000,180.000000,bottom
"R24","99.1k","R_0402_1005Metric",34.020000,-38.720000,90.000000,bottom
"R25","99.1k","R_0402_1005Metric",42.375000,-31.822500,180.000000,bottom
"R26","99.1k","R_0402_1005Metric",44.662500,-28.045000,90.000000,bottom
"R27","27.7k","R_0402_1005Metric",44.412500,-19.542500,180.000000,bottom
"R28","27.7k","R_0402_1005Metric",44.442500,-37.985000,180.000000,bottom
"R29","27.7k","R_0402_1005Metric",47.237500,-21.530000,-90.000000,bottom
"R30","99.1k","R_0402_1005Metric",42.172500,-19.542500,180.000000,bottom
"R31","99.1k","R_0402_1005Metric",42.182500,-38.005000,180.000000,bottom
"R32","99.1k","R_0402_1005Metric",46.097500,-21.520000,90.000000,bottom
"R33","27.7k","R_0402_1005Metric",44.450000,-25.252500,180.000000,bottom
"R34","27.7k","R_0402_1005Metric",30.702500,-40.590000,90.000000,bottom
"R35","27.7k","R_0402_1005Metric",48.650000,-16.340000,180.000000,bottom
"R36","99.1k","R_0402_1005Metric",42.270000,-25.232500,180.000000,bottom
"R37","99.1k","R_0402_1005Metric",30.700000,-38.460000,90.000000,bottom
"R38","99.1k","R_0402_1005Metric",46.597500,-16.327500,180.000000,bottom
"R39","27.7k","R_0402_1005Metric",47.782500,-34.390000,180.000000,bottom
"R40","99.1k","R_0402_1005Metric",46.132500,-34.120000,90.000000,bottom
"R41","20R","R_0402_1005Metric",22.240000,-35.670000,180.000000,bottom
"R42","20R","R_0402_1005Metric",22.255000,-38.320000,180.000000,bottom
"R43","20R","R_0402_1005Metric",11.185000,-35.740000,180.000000,bottom
"R44","20R","R_0402_1005Metric",11.510000,-23.830000,90.000000,bottom
"R46","20R","R_0402_1005Metric",23.430000,-20.280000,90.000000,bottom
"R47","20R","R_0402_1005Metric",22.020000,-20.490000,90.000000,bottom
"R48","20R","R_0402_1005Metric",26.380000,-8.850000,180.000000,bottom
"R49","20R","R_0402_1005Metric",26.210000,-38.370000,90.000000,bottom
"U3","OPA347","SOT-23-5",33.172500,-35.410000,90.000000,bottom
"U4","OPA347","SOT-23-5",38.965000,-33.010000,180.000000,bottom
"U5","OPA347","SOT-23-5",41.632500,-29.485000,180.000000,bottom
"U6","OPA347","SOT-23-5",39.032500,-20.650000,180.000000,bottom
"U7","OPA347","SOT-23-5",38.932500,-39.020000,180.000000,bottom
"U8","OPA347","SOT-23-5",43.397500,-23.000000,180.000000,bottom
"U9","OPA347","SOT-23-5",39.120000,-25.870000,180.000000,bottom
"U10","OPA347","SOT-23-5",29.532500,-35.420000,90.000000,bottom
"U11","OPA347","SOT-23-5",43.340000,-17.280000,180.000000,bottom
"U12","OPA347","SOT-23-5",43.272500,-35.677500,180.000000,bottom
